"nct_id","alias"
"NCT00042120","NCT00342914"
"NCT00042146","NCT00218738"
"NCT00042367","NCT00005063"
"NCT00042666","NCT00054080"
"NCT00042861","NCT00039637"
"NCT00043043","NCT00056615"
"NCT00043381","NCT00022061"
"NCT00043420","NCT00091208"
"NCT00043472","NCT00049049"
"NCT00043472","NCT00284544"
"NCT00043615","NCT00896805"
"NCT00043979","NCT00047372"
"NCT00044356","NCT00028444"
"NCT00044512","NCT00048919"
"NCT00044512","NCT00058383"
"NCT00044733","NCT00053274"
"NCT00044902","NCT00054379"
"NCT00045097","NCT00040079"
"NCT00045110","NCT00055276"
"NCT00045123","NCT00043251"
"NCT00045149","NCT00029432"
"NCT00045201","NCT01646892"
"NCT00045201","NCT01664286"
"NCT00045227","NCT00041522"
"NCT00045331","NCT00039806"
"NCT00045500","NCT00041873"
"NCT00045630","NCT00191217"
"NCT00045734","NCT00069667"
"NCT00045877","NCT00066534"
"NCT00045942","NCT00045578"
"NCT00045942","NCT00977782"
"NCT00046189","NCT00049621"
"NCT00046449","NCT00300144"
"NCT00046709","NCT00052871"
"NCT00046917","NCT01645462"
"NCT00046930","NCT00046046"
"NCT00047060","NCT00042640"
"NCT00047385","NCT00028808"
"NCT00047450","NCT00046098"
"NCT00047476","NCT00052533"
"NCT00047736","NCT00029016"
"NCT00047788","NCT00052741"
"NCT00047801","NCT00068705"
"NCT00047840","NCT00054093"
"NCT00047879","NCT00052650"
"NCT00047970","NCT00339820"
"NCT00048230","NCT00052260"
"NCT00048334","NCT00052767"
"NCT00048503","NCT00057824"
"NCT00048503","NCT00723034"
"NCT00048555","NCT00056043"
"NCT00048815","NCT00043524"
"NCT00048815","NCT00050544"
"NCT00048880","NCT00053079"
"NCT00048893","NCT00053170"
"NCT00048984","NCT00063271"
"NCT00048984","NCT00228774"
"NCT00049387","NCT00060879"
"NCT00049543","NCT00953069"
"NCT00049556","NCT00046007"
"NCT00049608","NCT00044161"
"NCT00050141","NCT00060177"
"NCT00050141","NCT00723372"
"NCT00050154","NCT00722787"
"NCT00050323","NCT00062192"
"NCT00050375","NCT00068354"
"NCT00050388","NCT00028457"
"NCT00050414","NCT01336504"
"NCT00050427","NCT01328327"
"NCT00050440","NCT01328314"
"NCT00050752","NCT00055627"
"NCT00050960","NCT00036907"
"NCT00050973","NCT00030927"
"NCT00050999","NCT00002683"
"NCT00051012","NCT00005620"
"NCT00051025","NCT00005621"
"NCT00051103","NCT00044330"
"NCT00051103","NCT00053066"
"NCT00051311","NCT00055744"
"NCT00051467","NCT00049647"
"NCT00051506","NCT00062088"
"NCT00051571","NCT00031603"
"NCT00051584","NCT00056017"
"NCT00051636","NCT00050258"
"NCT00051805","NCT00078780"
"NCT00052000","NCT00058409"
"NCT00052130","NCT00004130"
"NCT00052156","NCT00003722"
"NCT00052221","NCT00563719"
"NCT00052351","NCT00047398"
"NCT00052728","NCT00048867"
"NCT00052962","NCT00056108"
"NCT00053703","NCT00030251"
"NCT00053703","NCT00043290"
"NCT00053937","NCT00050453"
"NCT00053963","NCT00069771"
"NCT00054405","NCT00065494"
"NCT00054535","NCT00051610"
"NCT00054639","NCT01654952"
"NCT00054665","NCT00057902"
"NCT00054795","NCT00066820"
"NCT00054899","NCT00060047"
"NCT00055237","NCT00058136"
"NCT00055562","NCT00060281"
"NCT00055991","NCT00206479"
"NCT00056173","NCT00084331"
"NCT00056446","NCT00068679"
"NCT00056563","NCT00101556"
"NCT00056966","NCT00602888"
"NCT00057005","NCT00601380"
"NCT00057252","NCT00851097"
"NCT00057382","NCT00066287"
"NCT00057616","NCT00051064"
"NCT00057720","NCT00078884"
"NCT00057759","NCT00075127"
"NCT00057889","NCT00053729"
"NCT00058019","NCT01660269"
"NCT00058279","NCT00055211"
"NCT00058539","NCT00066755"
"NCT00058552","NCT00070408"
"NCT00058591","NCT00608608"
"NCT00058604","NCT00607698"
"NCT00058617","NCT00002821"
"NCT00058747","NCT00070395"
"NCT00058786","NCT00609076"
"NCT00058812","NCT00608309"
"NCT00059462","NCT00048191"
"NCT00059475","NCT00062218"
"NCT00059631","NCT00082680"
"NCT00059722","NCT00072423"
"NCT00060437","NCT00058708"
"NCT00060528","NCT00062153"
"NCT00060671","NCT00062361"
"NCT00060684","NCT00057772"
"NCT00061035","NCT00066261"
"NCT00061048","NCT00064155"
"NCT00061347","NCT00882349"
"NCT00061477","NCT00060190"
"NCT00061581","NCT00066300"
"NCT00061815","NCT00065520"
"NCT00062036","NCT00059163"
"NCT00062049","NCT00059059"
"NCT00062166","NCT01444950"
"NCT00062686","NCT00068627"
"NCT00062751","NCT00061971"
"NCT00062855","NCT00002713"
"NCT00062868","NCT00070226"
"NCT00062868","NCT00671164"
"NCT00062933","NCT00066521"
"NCT00063141","NCT00065598"
"NCT00063154","NCT00095602"
"NCT00063401","NCT00070044"
"NCT00063453","NCT00241865"
"NCT00063453","NCT00782678"
"NCT00063583","NCT00105391"
"NCT00063713","NCT00084851"
"NCT00063726","NCT00049478"
"NCT00064129","NCT01648361"
"NCT00064311","NCT00061555"
"NCT00064363","NCT00061685"
"NCT00064428","NCT01352156"
"NCT00064883","NCT00068536"
"NCT00064974","NCT00077506"
"NCT00065156","NCT00074126"
"NCT00065429","NCT00074256"
"NCT00065442","NCT00084760"
"NCT00065468","NCT00070330"
"NCT00065858","NCT00397618"
"NCT00065988","NCT00000364"
"NCT00066014","NCT00000366"
"NCT00066040","NCT00016822"
"NCT00066092","NCT00060229"
"NCT00066118","NCT00000365"
"NCT00066196","NCT00081081"
"NCT00066417","NCT00062725"
"NCT00066573","NCT00438529"
"NCT00066586","NCT00258648"
"NCT00066599","NCT00062920"
"NCT00066651","NCT00065481"
"NCT00066664","NCT00063167"
"NCT00066690","NCT00917969"
"NCT00066690","NCT02140190"
"NCT00067821","NCT00070512"
"NCT00067990","NCT01467895"
"NCT00068003","NCT00897195"
"NCT00068068","NCT00078871"
"NCT00068471","NCT00063466"
"NCT00068575","NCT01053351"
"NCT00068601","NCT00696267"
"NCT00069121","NCT00080691"
"NCT00069160","NCT00072202"
"NCT00069238","NCT00072254"
"NCT00069589","NCT00177073"
"NCT00069758","NCT00085033"
"NCT00069888","NCT00054509"
"NCT00070616","NCT00963170"
"NCT00070785","NCT00897156"
"NCT00070837","NCT00074347"
"NCT00071058","NCT00073996"
"NCT00071097","NCT00980928"
"NCT00071188","NCT00093392"
"NCT00071942","NCT00077571"
"NCT00071981","NCT00464152"
"NCT00072085","NCT00069043"
"NCT00072111","NCT00068016"
"NCT00072124","NCT00068939"
"NCT00072488","NCT00228761"
"NCT00072618","NCT00036010"
"NCT00072904","NCT00177151"
"NCT00073008","NCT00084955"
"NCT00073073","NCT00085072"
"NCT00073112","NCT00080717"
"NCT00073125","NCT00080704"
"NCT00073151","NCT00080730"
"NCT00073398","NCT00075790"
"NCT00073489","NCT00036049"
"NCT00073528","NCT00084968"
"NCT00073983","NCT00070772"
"NCT00074048","NCT00071318"
"NCT00074165","NCT00261651"
"NCT00074243","NCT00071864"
"NCT00074386","NCT00023478"
"NCT00074386","NCT00473629"
